kunnr,mart_miktar_ton,aygpay,hesnav,MRT 2026,fiil_nakliye_tl_ton,fob_tutar,ton_bası_karlılık
1022033,2.64,35719.05,5399.99,0.0,7379.768589458499,,33739.2714105415
1022034,24.67,35719.05,5399.99,-208296.0,3378.512105472862,,29297.2364474254
1022037,2.76,35719.05,5399.99,-22080.0,4594.021559347037,,28525.018440652966
1023013,1.32,35390.11,5429.15,-10560.0,4517.268063442579,,28301.991936557424
1023033,3.12,35511.32,5429.15,0.0,4627.693480663056,,36312.77651933694
1023044,52.25,34575.86,4292.79,-1018836.0,,17.541071891891896,19369.396411483256
1023050,88.82,35390.11,5429.15,-1460340.0,3675.4518470653293,17.544130216216217,20702.240938343366
1023060,0.24,34575.88,4292.79,-1200.0,,,33868.67
1023065,1.32,35390.11,5429.15,-5940.0,5722.253657077108,,30597.00634292289
1024006,0.48,36529.63,5449.15,0.0,14915.532433706525,,27063.247566293474
1024022,0.48,36529.62,5449.14,0.0,9908.33974980905,,32070.420250190953
1024025,0.48,35715.38,4312.79,-900.0,11756.457296086302,,26396.712703913698
1024028,1.2,36529.63,5449.15,-3600.0,11603.956354601933,,27374.823645398064
1024030,2.58,36529.63,5449.15,0.0,9999.124326305353,,31979.655673694644
1024040,0.66,36529.62,5449.15,-14102.0,11739.006676864356,,8873.096656468984
1024042,0.6,36529.62,5449.15,0.0,17453.870268451035,,24524.89973154897
1024043,1.2,36529.63,5449.15,0.0,12459.448435859247,,29519.331564140753
1025028,2.35,36506.31,5472.5,-42336.0,7402.893743048665,2.6364864864864868,16560.597108015165
1025065,2.16,36506.29,5472.49,-21600.0,9418.256414654057,,22560.52358534594
1025076,0.36,36506.28,5472.48,-1260.0,9590.404834536019,,28888.355165463974
1025083,0.42,36506.29,5472.5,-1260.0,11502.343119710953,,27476.446880289048
1025106,0.66,36506.29,5472.5,-5040.0,13102.028174633322,,21240.398189003045
1025109,0.18,36506.28,5472.5,-7425.0,10157.806223440479,,-9429.02622344048
1025114,0.3,36506.3,5472.5,-7926.0,11547.79900982465,,4011.000990175351
